event_title,event_url_html,event_img-src,event_tags,event_dates_html,event_date_span,Days,Time,event_item_html,venue_name,venue_url_html
Juneteenth At Atlanta History Center,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/juneteenth-at-atlanta-history-center/"">Juneteenth At Atlanta History Center</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/JuneteenthCROP-300x300.jpg,Family Festivals Museums,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 17 – Jun 18</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 17</td><td>11am – 4pm</td></tr><tr><td>Sun, Jun 18</td><td>12pm – 4pm</td></tr></tbody></table></dd></dl>",Jun 17 – Jun 18,"Sat, Jun 17",11am – 4pm,"<td class=""thumb"">
<a title=""Juneteenth At Atlanta History Center"" href=""https://atlantaplanit.wabe.org/events/juneteenth-at-atlanta-history-center/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/JuneteenthCROP-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/JuneteenthCROP-300x300.jpg 300w, /wp-content/uploads/2017/04/JuneteenthCROP-63x63.jpg 63w, /wp-content/uploads/2017/04/JuneteenthCROP.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/juneteenth-at-atlanta-history-center/"">Juneteenth At Atlanta History Center</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/museums/"" rel=""tag"">Museums</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 17 – Jun 18</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 17</td><td>11am – 4pm</td></tr><tr><td>Sun, Jun 18</td><td>12pm – 4pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-history-center-2/"">Atlanta History Center</a></span></dd></dl> </td>",Atlanta History Center,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-history-center-2/"">Atlanta History Center</a></span></dd></dl>"
Old Fourth Ward Park Arts Festival,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/old-fourth-ward-park-arts-festival/"">Old Fourth Ward Park Arts Festival</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Old_Fourth_Ward_Park_Arts_Festival-300x300.jpg,Family Festivals Free Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 24 – Jun 25</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 24</td><td>10am – 5pm</td></tr><tr><td>Sun, Jun 25</td><td>11am – 5pm</td></tr></tbody></table></dd></dl>",Jun 24 – Jun 25,"Sat, Jun 24",10am – 5pm,"<td class=""thumb"">
<a title=""Old Fourth Ward Park Arts Festival"" href=""https://atlantaplanit.wabe.org/events/old-fourth-ward-park-arts-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/Old_Fourth_Ward_Park_Arts_Festival-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/Old_Fourth_Ward_Park_Arts_Festival-300x300.jpg 300w, /wp-content/uploads/2017/02/Old_Fourth_Ward_Park_Arts_Festival-63x63.jpg 63w, /wp-content/uploads/2017/02/Old_Fourth_Ward_Park_Arts_Festival.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/old-fourth-ward-park-arts-festival/"">Old Fourth Ward Park Arts Festival</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 24 – Jun 25</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 24</td><td>10am – 5pm</td></tr><tr><td>Sun, Jun 25</td><td>11am – 5pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/old-fourth-ward-park-2/"">Old Fourth Ward Park</a></span></dd></dl> </td>",Old Fourth Ward Park,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/old-fourth-ward-park-2/"">Old Fourth Ward Park</a></span></dd></dl>"
Duluth Spring Arts Festival,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/duluth-spring-arts-festival/"">Duluth Spring Arts Festival</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/IMG_0416-1559-300x300.jpg,Family Festivals Free,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 10 – Jun 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>10am – 5pm</td></tr><tr><td>Sun, Jun 11</td><td>11am – 5pm</td></tr></tbody></table></dd></dl>",Jun 10 – Jun 11,"Sat, Jun 10",10am – 5pm,"<td class=""thumb"">
<a title=""Duluth Spring Arts Festival"" href=""https://atlantaplanit.wabe.org/events/duluth-spring-arts-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/IMG_0416-1559-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/IMG_0416-1559-300x300.jpg 300w, /wp-content/uploads/2017/03/IMG_0416-1559-63x63.jpg 63w, /wp-content/uploads/2017/03/IMG_0416-1559-600x600.jpg 600w, /wp-content/uploads/2017/03/IMG_0416-1559.jpg 666w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/duluth-spring-arts-festival/"">Duluth Spring Arts Festival</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 10 – Jun 11</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>10am – 5pm</td></tr><tr><td>Sun, Jun 11</td><td>11am – 5pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl> </td>",Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>"
Star Wars and More: The Music of John Williams,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/star-wars-and-more-the-music-of-john-williams-3/"">Star Wars and More: The Music of John Williams</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/StarWarsASO-300x300.jpg,Family Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 16</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 16</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>",16-Sep,"Sat, Sep 16",8pm – 10pm,"<td class=""thumb"">
<a title=""Star Wars and More: The Music of John Williams"" href=""https://atlantaplanit.wabe.org/events/star-wars-and-more-the-music-of-john-williams-3/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/StarWarsASO-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/StarWarsASO-300x300.jpg 300w, /wp-content/uploads/2017/04/StarWarsASO-63x63.jpg 63w, /wp-content/uploads/2017/04/StarWarsASO.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/star-wars-and-more-the-music-of-john-williams-3/"">Star Wars and More: The Music of John Williams</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 16</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 16</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/verizon-wireless-amphitheatre-at-encore-park/"">Verizon Wireless Amphitheatre at Encore Park</a></span></dd></dl> </td>",Verizon Wireless Amphitheatre at Encore Park,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/verizon-wireless-amphitheatre-at-encore-park/"">Verizon Wireless Amphitheatre at Encore Park</a></span></dd></dl>"
The Curious Garden,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-curious-garden/"">The Curious Garden</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/AB_-_Curious_Garden-300x300.jpg,Family Museums,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 6 – Oct 29</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9am – 7pm</td></tr></tbody></table></dd></dl>",May 6 – Oct 29,Every,9am – 7pm,"<td class=""thumb"">
<a title=""The Curious Garden"" href=""https://atlantaplanit.wabe.org/events/the-curious-garden/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/AB_-_Curious_Garden-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/AB_-_Curious_Garden-300x300.jpg 300w, /wp-content/uploads/2017/04/AB_-_Curious_Garden-63x63.jpg 63w, /wp-content/uploads/2017/04/AB_-_Curious_Garden.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-curious-garden/"">The Curious Garden</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/museums/"" rel=""tag"">Museums</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 6 – Oct 29</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9am – 7pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-botanical-garden/"">Atlanta Botanical Garden</a></span></dd></dl> </td>",Atlanta Botanical Garden,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-botanical-garden/"">Atlanta Botanical Garden</a></span></dd></dl>"
Fall Fest 2017,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fall-fest-2016/"">Fall Fest 2017</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Fall_Fest_2017-300x300.jpg,Family Festivals Free Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 30 – Oct 1</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 30</td><td>12pm – 10pm</td></tr><tr><td>Sun, Oct 1</td><td>12pm – 9pm</td></tr></tbody></table></dd></dl>",Sep 30 – Oct 1,"Sat, Sep 30",12pm – 10pm,"<td class=""thumb"">
<a title=""Fall Fest 2017"" href=""https://atlantaplanit.wabe.org/events/fall-fest-2016/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/07/Fall_Fest_2017-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/07/Fall_Fest_2017-300x300.jpg 300w, /wp-content/uploads/2016/07/Fall_Fest_2017-63x63.jpg 63w, /wp-content/uploads/2016/07/Fall_Fest_2017.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fall-fest-2016/"">Fall Fest 2017</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 30 – Oct 1</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 30</td><td>12pm – 10pm</td></tr><tr><td>Sun, Oct 1</td><td>12pm – 9pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/candler-park-2/"">Candler Park</a></span></dd></dl> </td>",Candler Park,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/candler-park-2/"">Candler Park</a></span></dd></dl>"
The Roswell Lavender Festival,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-roswell-lavender-festival/"">The Roswell Lavender Festival</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/The_Roswell_Lavender_Festival-300x300.jpg,Family Festivals Free,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 10</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>10am – 5pm</td></tr></tbody></table></dd></dl>",10-Jun,"Sat, Jun 10",10am – 5pm,"<td class=""thumb"">
<a title=""The Roswell Lavender Festival"" href=""https://atlantaplanit.wabe.org/events/the-roswell-lavender-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/The_Roswell_Lavender_Festival-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/The_Roswell_Lavender_Festival-300x300.jpg 300w, /wp-content/uploads/2017/03/The_Roswell_Lavender_Festival-63x63.jpg 63w, /wp-content/uploads/2017/03/The_Roswell_Lavender_Festival.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-roswell-lavender-festival/"">The Roswell Lavender Festival</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 10</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>10am – 5pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/barrington-hall-2/"">Barrington Hall</a></span></dd></dl> </td>",Barrington Hall,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/barrington-hall-2/"">Barrington Hall</a></span></dd></dl>"
Toddler Thursdays,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/toddler-thursdays/"">Toddler Thursdays</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/High_-_Toddler_THursday.jpg,Family Galleries Museums,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 22, 2016 – Dec 28, 2017</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 4pm</td></tr></tbody></table></dd></dl>","Dec 22, 2016 – Dec 28, 2017",Every,10am – 4pm,"<td class=""thumb"">
<a title=""Toddler Thursdays"" href=""https://atlantaplanit.wabe.org/events/toddler-thursdays/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/08/High_-_Toddler_THursday.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/08/High_-_Toddler_THursday.jpg 200w, /wp-content/uploads/2016/08/High_-_Toddler_THursday-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/toddler-thursdays/"">Toddler Thursdays</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/galleries/"" rel=""tag"">Galleries</a> <a href=""/museums/"" rel=""tag"">Museums</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 22, 2016 – Dec 28, 2017</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 4pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/high-museum-of-art-2/"">High Museum of Art</a></span></dd></dl> </td>",High Museum of Art,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/high-museum-of-art-2/"">High Museum of Art</a></span></dd></dl>"
Georgia Renaissance Festival,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/georgia-renaissance-festival/"">Georgia Renaissance Festival</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/Georgia_Renaissance_Festival-300x300.jpg,Family Festivals,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 15 – Jun 4</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10:30am – 6pm</td></tr></tbody></table></dd></dl>",Apr 15 – Jun 4,Every,10:30am – 6pm,"<td class=""thumb"">
<a title=""Georgia Renaissance Festival"" href=""https://atlantaplanit.wabe.org/events/georgia-renaissance-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/01/Georgia_Renaissance_Festival-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/01/Georgia_Renaissance_Festival-300x300.jpg 300w, /wp-content/uploads/2017/01/Georgia_Renaissance_Festival-63x63.jpg 63w, /wp-content/uploads/2017/01/Georgia_Renaissance_Festival.jpg 400w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/georgia-renaissance-festival/"">Georgia Renaissance Festival</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 15 – Jun 4</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10:30am – 6pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-renaissance-festival/"">Georgia Renaissance Festival</a></span></dd></dl> </td>",Georgia Renaissance Festival,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-renaissance-festival/"">Georgia Renaissance Festival</a></span></dd></dl>"
Pete the Cat,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/pete-the-cat/"">Pete the Cat</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/CPA_-_Pete_the_Cat.jpg,Family Theater,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 4 – May 28</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 11am<br>11:30am – 12:30pm<br>12pm – 1pm<br>2pm – 3pm<br>1pm – 2pm<br>3pm – 4pm</td></tr></tbody></table></dd></dl>",Apr 4 – May 28,Every,10am – 11am11:30am – 12:30pm12pm – 1pm2pm – 3pm1pm – 2pm3pm – 4pm,"<td class=""thumb"">
<a title=""Pete the Cat"" href=""https://atlantaplanit.wabe.org/events/pete-the-cat/""><img width=""287"" height=""287"" src=""/wp-content/uploads/2016/11/CPA_-_Pete_the_Cat.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/11/CPA_-_Pete_the_Cat.jpg 287w, /wp-content/uploads/2016/11/CPA_-_Pete_the_Cat-63x63.jpg 63w"" sizes=""(max-width: 287px) 100vw, 287px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/pete-the-cat/"">Pete the Cat</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/theater/"" rel=""tag"">Theater</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 4 – May 28</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 11am<br>11:30am – 12:30pm<br>12pm – 1pm<br>2pm – 3pm<br>1pm – 2pm<br>3pm – 4pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/center-for-puppetry-arts/"">Center for Puppetry Arts</a></span></dd></dl> </td>",Center for Puppetry Arts,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/center-for-puppetry-arts/"">Center for Puppetry Arts</a></span></dd></dl>"
