festival_list_link,festival_list_link-href,event_name,event_dates,event_cost,event_description,event_date_time,event_location_name,event_location_address,event_venue_html
"Candler Park Music & Food Festival","https://atlantaplanit.wabe.org/events/candler-park-music-food-festival/","Candler Park Music & Food Festival","Jun 2 – Jun 3","General Admission","The Candler Park Music Festival returns in June 2017. Lineup to be announced.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, Jun 2</td><td>4pm – 11pm</td></tr><tr><td>Sat, Jun 3</td><td>12pm – 11pm</td></tr></tbody></table></dd>","Candler Park","McClendon Ave. and Candler Park Dr.
ATLANTA, GA 30307","<h3>Location</h3>
				<header class=""entry-header"">
					Candler Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>McClendon Ave. and Candler Park Dr.<br>ATLANTA, GA 30307</span></dd></dl>				<dl class=""pi-field wwwcandlerparkorg"" title=""www.candlerpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.candlerpark.org"">www.candlerpark.org</a></span></dd></dl>"
"Chastain Park Arts Festival","https://atlantaplanit.wabe.org/events/chastain-park-arts-festival-2/","Chastain Park Arts Festival","Nov 4 – Nov 5","Free","This two-day outdoor event brings together outstanding local, regional and national visual artists in the largest public park in Fulton County. View the work of approximately 200 fine painters, photographers, sculptors, leather and metal craft persons, glass blowers, jewelers and others. The festival also offers visitors the opportunity to view artist demonstrations, enjoy live entertainment, participate in hands-on arts activities, and enjoy festival foods and beverages.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Nov 4</td><td>10am – 5pm</td></tr><tr><td>Sun, Nov 5</td><td>11am – 5pm</td></tr></tbody></table></dd>","Chastain Park","4469 Stella Drive
ATLANTA, GA 30327","<h3>Location</h3>
				<header class=""entry-header"">
					Chastain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>4469 Stella Drive<br>ATLANTA, GA 30327</span></dd></dl>				<dl class=""pi-field chastainparkorg"" title=""chastainpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://chastainpark.org"">chastainpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@chastainpark.org"">info@chastainpark.org</a></span></dd></dl>"
"Light Up Dunwoody","https://atlantaplanit.wabe.org/events/light-up-dunwoody/","Light Up Dunwoody","Nov 19","null","Celebrate holiday cheer with us at the annual Light Up Dunwoody festival sponsored by the Dunwoody Preservation Trust, Dunwoody Crier, and the Dunwoody Homeowner's Association! 





This even takes place at:


Cheek-Spruill Farmhouse 


5455 Chamblee Dunwoody Rd


Dunwoody, GA 30338","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Nov 19</td><td>3pm – 6pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Tunes from the Tombs","https://atlantaplanit.wabe.org/events/tunes-from-the-tombs/","Tunes from the Tombs","Jun 10","General Admission","Tunes from the Tombs, Historic Oakland Cemetery’s annual summer music festival, brings some of Atlanta’s favorite bands to the city’s most unique performance venue. Rock in peace with cold drinks, the hottest food trucks, kid’s activities, and much more. All proceeds from Tunes from the Tombs benefit Historic Oakland Foundation’s mission to preserve, restore, enhance and share Oakland Cemetery.





MailChimp Main Stage at Lion Square


1 p.m. Atlanta Rock ‘n Roll Allstars


2:15 p.m. Jugtime Ragband


3:30 p.m. Cadillac Jones


4:45 p.m. Secondhand Swagger


5:30 p.m. Bad Spell


6 p.m. Col. Bruce Hampton, Ret.





Creative Loafing Stage at North Public Grounds


1:45 p.m. Dang Dang Dang


3 p.m. Blake Rainey and his Demons


4:15 p.m. Spencer Garn & The Diamond Street Players


6:45 p.m. Five Eight





Bell Tower Porte-Cochere Stage


1:30 p.m. Octave Atlanta


2:45 p.m. Little Country Giants


4 p.m. Wasted Potential Brass Band


5:15 p.m. & 6:15 p.m. Bonaventure Quartet





A $75 Rock in Peace package includes: one adult general admission ticket; exclusive access to the Tunes from the Tombs hospitality suite that includes complimentary fare from Republic Social House and Doc Chey’s Noodle House, air conditioning, and access to indoor restrooms; a 2017 Tunes from the Tombs T-shirt; complimentary parking; two drink vouchers good for beer, wine, or soft drinks; complimentary shuttle transport to stage areas; and exclusive access to stage-adjacent restrooms.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>1pm – 9pm</td></tr></tbody></table></dd>","Oakland Cemetery","248 Oakland Ave. SE
ATLANTA, GA 30312","<h3>Location</h3>
				<header class=""entry-header"">
					Oakland Cemetery				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>248 Oakland Ave. SE<br>ATLANTA, GA 30312</span></dd></dl>				<dl class=""pi-field wwwoaklandcemeterycom"" title=""www.oaklandcemetery.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.oaklandcemetery.com"">www.oaklandcemetery.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:mwoodlan@oaklandcemetery.com"">mwoodlan@oaklandcemetery.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-688-2107"">404-688-2107</a></span></dd></dl>"
"Chalktoberfest","https://atlantaplanit.wabe.org/events/chalktoberfest/","Chalktoberfest","Oct 14 – Oct 15","Free!","The Marietta/Cobb Museum of Art is proud to present Chalktoberfest, an exciting combination of their annual Chalk Festival with Marietta's first Craft Beer Festival. Enjoy craft beer samplings, live music from local artists, professional chalk artists chalk the streets and great food at the beautiful downtown square of Marietta.","null","Marietta Square","4 Depot St.
MARIETTA, GA 30060","<h3>Location</h3>
				<header class=""entry-header"">
					Marietta Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>4 Depot St.<br>MARIETTA, GA 30060</span></dd></dl>				<dl class=""pi-field wwwmariettasquarecom"" title=""www.mariettasquare.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.mariettasquare.com/"">www.mariettasquare.com/</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-429-1115"">770-429-1115</a></span></dd></dl>"
"The Cheese Fest @ Atlanta","https://atlantaplanit.wabe.org/events/the-cheese-fest-atlanta/","The Cheese Fest @ Atlanta","Sep 23","null","The Cheese Fest @ Atlanta gives a unique event that gives guests rare access to a variety of cheese producers from all around the world. Sample cheese, meet producers, purchase your favorite products all while sipping your favorite craft brew or wine.","null","Historic Fourth Ward Park","680 Dallas St NE
ATLANTA, GA 30308","<h3>Location</h3>
				<header class=""entry-header"">
					Historic Fourth Ward Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>680 Dallas St NE<br>ATLANTA, GA 30308</span></dd></dl>												<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-590-7275"">404-590-7275</a></span></dd></dl>"
"Oakhurst Porchfest","https://atlantaplanit.wabe.org/events/oakhurst-porchfest-2/","Oakhurst Porchfest","Oct 14","null","Ten years ago in Ithaca, New York, someone had an idea: What if we had an afternoon when porches all over the neighborhood became stages and everyone just meandered from yard to yard, listening, hanging out, and connecting/reconnecting with their neighbors? Porchfest, the ultimate grassroots music festival, was born. 100% resident owned and operated, it’s been going and growing every year since. And in that time, other neighborhoods all around the country have taken the model and run with it. Including Oakhurst, which launched its own Porchfest in October, 2015.





This event takes place in the southwest corner of Decatur, sandwiched between Agnes Scott College to the east and Kirkwood to the west.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 14</td><td>12pm – 6pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Dunwoody Art Festival","https://atlantaplanit.wabe.org/events/dunwoody-art-festival/","Dunwoody Art Festival","May 13 – May 14","null","The Dunwoody Art Festival is whimsical and colorful art festival in the heart of Dunwoody featuring Quality art, great food, live entertainment, extravagant kid's zone!





This event takes place at:


Dunwoody Village Area


1442 Dunwoody Village Pkwy 


Dunwoody, GA 30338","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>10am – 6pm</td></tr><tr><td>Sun, May 14</td><td>10am – 5pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Atlanta Underground Film Festival","https://atlantaplanit.wabe.org/events/atlanta-underground-film-festival/","Atlanta Underground Film Festival","Aug 18 – Aug 20","Single ticket prices TBA","The 14th Annual Atlanta Underground Film Festival is part of the Atlanta Film Series. Since 2004, the AUFF has served as a forum where independent filmmakers thrive outside the mainstream arena. The AUFF exposes and promotes creative artists who work outside the system to create DIY, grass-roots movies that break the boundaries of film and video. Through the festival, these talented independent filmmakers now have a voice in a market typically saturated with commercial entertainment designed to satisfy the audience's expectations.","null","Synchronicity Theatre","1545 Peachtree St. NE
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Synchronicity Theatre				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1545 Peachtree St. NE<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwsynchrotheatrecom"" title=""www.synchrotheatre.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.synchrotheatre.com/"">www.synchrotheatre.com/</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:boxoffice@synchrotheatre.com"">boxoffice@synchrotheatre.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-484-8636"">404-484-8636</a></span></dd></dl>"
"Annual Cherokee County Indian Festival & Mother’s Day Powwow","https://atlantaplanit.wabe.org/events/annual-cherokee-county-indian-festival-mothers-day-powwow/","Annual Cherokee County Indian Festival & Mother’s Day Powwow","May 13 – May 14","null","Annual Cherokee County Indian Festival & Mother's Day Powwow features many favorite activities for all audiences, including a Native American dance competition, warriors on horseback, Native film and TV stars, hoop dancers and Aztec dancers, tipis, wigwam and living Indian village and displays, Northern Plains encampment, primitive skills, environmental and wildlife displays, Native American artisans, Save the Horses rescue group, train rides and other activities for children, Mother’s Day Honor Dance and much more. 





This event takes place at:


Boling Park


1098 Marietta Hwy


Canton, GA 30114","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>10am – 6pm</td></tr><tr><td>Sun, May 14</td><td>11am – 6pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
