alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"C","https://atlantaplanit.wabe.org/venues/C/","Chattahoochee Nature Center","https://atlantaplanit.wabe.org/venues/chattahoochee-nature-center/","Chattahoochee Nature Center","770-992-2055","9135 Willeo Rd.
ROSWELL, GA 30075","Chattahoochee Nature Center is located on the Chattahoochee River in Roswell and sits on a beautiful site comprised of 127 acres of native plants and gardens that showcase the beauty of Georgia. It has a River Boardwalk, Discovery Center, wetland demonstration gardens and woodland trails that are home to more than 50 species of injured, non-releasable wildlife. For 30 years, this facility has continued to grow and reach out to citizens as a place to explore new ideas and expand the awareness of the natural world.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","null","cnc.admissions@chattnaturecenter.org","9135 Willeo Rd.
ROSWELL, GA 30075","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Chatt_-_Sign-1.jpg"
"P","https://atlantaplanit.wabe.org/venues/P/","Plaza Theatre","https://atlantaplanit.wabe.org/venues/plaza-theatre/","Plaza Theatre","404-873-1939","1049 Ponce de Leon Ave.
ATLANTA, GA 30306","Designed by architect George Harwell Bond, this theatre opened its doors in 1939 as a 1,000-seat art deco cinema live theatre. In the 70s the cinema operated as an X-rated adult cinema and live burlesque theatre until 1983, when it was purchased by George Lefont. Lefont renovated the theatre, and the balcony was enclosed to create a second screen. The theatre underwent renovations again when purchased by longtime Atlanta residents Jonathan and Gayle Rej in August of 2006. The Plaza Theatre is the last cinema of its kind in Atlanta, as well as the oldest continuously operating cinema in the city.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","info@plazaatlanta.com","1049 Ponce de Leon Ave.
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Plaza_Theatre_-_Marquis.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","Hood Street Art Center","https://atlantaplanit.wabe.org/venues/hood-street-art-center/","Hood Street Art Center","678-591-7744","136 Hood St.
MCDONOUGH, GA 30253","The Hood Street Art Center represents emerging regional artists seeking to increase community awareness and appreciation in the Southern Crescent area of Atlanta. Through centrally located exhibits, the center works to build sales and support for artists, as well as arts exposure and enjoyment for the community.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in a lot at the venue.","bethany@hoodstreetartcenter.com","136 Hood St.
MCDONOUGH, GA 30253","https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Hood_Street_-_Venue.jpg"
"J","https://atlantaplanit.wabe.org/venues/J/","Jimmy Carter Presidential Library & Museum","https://atlantaplanit.wabe.org/venues/jimmy-carter-presidential-library-museum/","Jimmy Carter Presidential Library & Museum","404-865-7100","441 Freedom Pkwy.
ATLANTA, GA 30307","Jimmy Carter Presidential Library & Museum houses U.S. President Jimmy Carter's papers and other material relating to the Carter administration and the Carter family's life. The library also hosts special exhibits, such as Carter's Nobel Peace Prize, and a full-scale replica of the Oval Office that includes a copy of the Resolute Desk.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","441 Freedom Pkwy.
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/CarterCenter_-_Exterior.jpg"
"E","https://atlantaplanit.wabe.org/venues/E/","Elm Street Cultural Arts Village","https://atlantaplanit.wabe.org/venues/elm-street-cultural-arts-village/","Elm Street Cultural Arts Village","678-494-4251","8534 Main St.
WOODSTOCK, GA 30188","Elm Street Cultural Arts Village is an arts and recreation destination for Cherokee County, providing green and inviting space for arts events and festivals; theater, dance and music performances; and historical workshops and preservation efforts. The four-acre village was established in 2009.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","director@elmstreetarts.org","8534 Main St.
WOODSTOCK, GA 30188","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Elm_Street_Cultural_Arts_Village.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Atlanta Athletic Club","https://atlantaplanit.wabe.org/venues/atlanta-athletic-club/","Atlanta Athletic Club","null","1930 Bobby Jones Dr.
JOHNS CREEK, GA 30097","The Atlanta Athletic Club occasionally hosts public sporting and other special events.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Parking is available.","null","1930 Bobby Jones Dr.
JOHNS CREEK, GA 30097","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"P","https://atlantaplanit.wabe.org/venues/P/","Paper Plane Gallery","https://atlantaplanit.wabe.org/venues/paper-plane-gallery/","Paper Plane Gallery","null","3731 #2 Main St.
COLLEGE PARK, GA 30337","Paper Plane Gallery is an exhibition space focusing on new American works on paper, printmaking, and artists' books. Assemblage, sculpture, performance, and installation involving printmaking and/or paper are especially encouraged. Both established and emerging artists are represented. It also hosts special events showcasing the private collections of some of the nation's most avid collectors of historic and contemporary works on paper and prints.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Street parking is available.","null","3731 #2 Main St.
COLLEGE PARK, GA 30337","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/PaperPlaneGallery.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","City Winery","https://atlantaplanit.wabe.org/venues/city-winery/","City Winery","404-WINERY1","650 North Avenue
ATLANTA, GA 30308","City Winery strives to deliver the highest-end combined culinary and cultural experience to their customers who are passionate in sharing wine, music and culinary arts. They are a unique facility, combining a fully functioning winery with intimate concerts, food and wine classes, private events in a variety of configurations and fine dining. They have created a compelling mix for our sophisticated clientele of foodies and active cultural patrons — bringing the wine country experience to the middle of a large city.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Lot parking available","atlantaconcierge@citywinery.com","650 North Avenue
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/City_Winery_Atlanta2.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","St. David’s Episcopal Church","https://atlantaplanit.wabe.org/venues/st-davids-episcopal-church/","St. David’s Episcopal Church","770-993-6084","1015 Old Roswell Rd.
ROSWELL, GA 30076","St. David's Episcopal Church occasionally hosts special concerts.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","1015 Old Roswell Rd.
ROSWELL, GA 30076","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/StDavidEpiscopal.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Matre Gallery","https://atlantaplanit.wabe.org/venues/matre-gallery/","Matre Gallery","404-217-4523","2300 Peachtree Road
ATLANTA, GA 30309","Matre Gallery, established in 1995, is the home base for Robert Matre’s dual careers as a photographer and art dealer. Maintaining a diverse roster with a focus on contemporary paintings, drawings and photography, gallery artists are showcased in a variety of venues as well as at the gallery. Artworks may also be viewed online and by appointment.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking is available at the gallery.","robertmatre@me.com","2300 Peachtree Road
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/12/Matre_Gallery_-_Venue.jpg"
"P","https://atlantaplanit.wabe.org/venues/P/","Premier Exhibition Center at Atlantic Station","https://atlantaplanit.wabe.org/venues/premier-exhibition-center-at-atlantic-station/","Premier Exhibition Center at Atlantic Station","404-496-4274","265 18th St.
ATLANTA, GA 30363","The Premier Exhibition Center at Atlantic Station is a special exhibition center located within the 138-acre development. It is located on the second level near Escalator 5, close to Atlantic Station's Central Park.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","There is a three-story parking facility located underneath The District at Atlantic Station, and metered street parking is also available throughout The District. MARTA: The Atlantic Station free ride shuttle leaves from the Arts Center Station and is no cost to riders. The shuttle runs along the 17th Street bus-only lane from the Arts Center Station to The Flats and IKEA, making stops at the designated MARTA bus stops in addition to other stops. The shuttle leaves every 15 to 30 minutes daily from 5 a.m. to 1 a.m. Please note that the shuttle no longer enters the retail district.","null","265 18th St.
ATLANTA, GA 30363","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Atlantic_Station2.jpg"
"P","https://atlantaplanit.wabe.org/venues/P/","Paris on Ponce","https://atlantaplanit.wabe.org/venues/paris-on-ponce/","Paris on Ponce","404-249-9965","716 Ponce de Leon Place NE
ATLANTA, GA 30306","After more than 30 years in the antique business, George and Judi Lee wanted to create an interesting, relaxing experience where everyone is welcome to browse and dream. Stroll through Paris on Ponce's three buildings where you will find everything from 18th century antiques to new designer furniture at less than wholesale prices. Paris on Ponce also offers event rental space, Le Maison Rouge, and 50,000 square feet of prop rentals. Come by and experience Paris without leaving Atlanta!","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in the rear of the building through the alley to the right of the entrance.","info@parisonponce.com","716 Ponce de Leon Place NE
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/ParisonPonce.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Robert C. Williams Paper Museum","https://atlantaplanit.wabe.org/venues/robert-c-williams-paper-museum/","Robert C. Williams Paper Museum","404-894-7840","Georgia Institute of Technology
500 10th St. NW
ATLANTA, GA 30332","This museum is an internationally renowned resource on the history of paper and paper technology. In addition to more than 2,000 books, the museum features a remarkable collection of more than 10,000 watermarks, papers, tools, machines and manuscripts. It is a fine venue for paper-related exhibits, with a focus on book arts, history, photography, print and the art of handmade paper.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","As you continue on 10th Street, cross Hemphill Avenue and the parking entrance to the museum's main location will be immediately on your left. MARTA: Take MARTA to the Midtown Station. Out of the station walk west on Peachtree Place. Turn right at West Peachtree Street and left on 10th Street. Walk about 0.9 mile on 10th Street to reach the museum.","cindy.bowden@ipst.gatech.edu","Georgia Institute of Technology
500 10th St. NW
ATLANTA, GA 30332","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/RCWM_-_Mead_Education_Center-1.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","The Goat Farm Arts Center","https://atlantaplanit.wabe.org/venues/goat-farm-arts-center-the/","The Goat Farm Arts Center","null","1200 Foster St.
ATLANTA, GA 30318","The Goat Farm Arts Center is a major visual and performing arts center located in what was once an underutilized historic site that went through a major expansion in 2009. The Goat Farm includes 12 acres of grounds and 12 turn-of-the-century brick structures. The facility has five performance and exhibition spaces: Goodson Yard, Minor Hall 1 (The Rodriguez Room) and Minor Hall 2 (Robert's Hoard), along with the two exterior venues Village Green and Dovetail. The Goat Farm hosts classical and contemporary music concerts, traditional and experimental theatrical performances, film screenings, contemporary dance performances, and art exhibitions.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Free parking is available.","atl@thegoatfarm.info","1200 Foster St.
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Goat_Farm_-_Interior.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Alpharetta Presbyterian Church","https://atlantaplanit.wabe.org/venues/alpharetta-presbyterian-church/","Alpharetta Presbyterian Church","770-751-0033","180 Academy St.
ALPHARETTA, GA 30009","Alpharetta Presbyterian Church is a central resource in the community. Many different groups meet in the facilities and use the property for various activities. Act1 Theatre Company is based at the church.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","180 Academy St.
ALPHARETTA, GA 30009","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/Alpharetta_Presbyterian_Church2.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","The Masquerade","https://atlantaplanit.wabe.org/venues/masquerade-the/","The Masquerade","404-577-8178","75 MLK Jr Drive SW
ATLANTA, GA 30303","Located at kenny's Alley in Underground Atlanta, The Masquerade has been known since its inception in 1989 as one of the country's most unique nightclub facilities.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Lot parking is available.","masq@masq.com","75 MLK Jr Drive SW
ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Masquerade.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Atlanta-Fulton Public Library, Central","https://atlantaplanit.wabe.org/venues/atlanta-fulton-public-library-central/","Atlanta-Fulton Public Library, Central","404-730-1700","One Margaret Mitchell Square
ATLANTA, GA 30303","In May 1980, a new Central Library was opened to the public under the leadership of Ella Gaines Yates, the first African-American director of the Atlanta-Fulton Public Library System. Marcel Breuer, a participant in the innovative Bauhaus Movement, planned and designed the building, working closely with his associate Hamilton Smith, although Breuer did not live to see its completion. In 2002 a major renovation of the Central Library was completed, and the library system celebrated the centennial of the year in which public library service in Atlanta began.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in nearby surface lots or in the parking deck across from the library. MARTA: Take the Red or Gold Line to the Peachtree Center station. Exit the station at the south end (Ellis Street exit) and use the escalator on the right. Central Library is located across the street on the corner of Forsyth Street and Carnegie Way. The entrance to the library is on Forsyth Street.","librarycomments@fultoncountyga.gov","One Margaret Mitchell Square
ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/AtlFultonLib_-_Central_Library_NEW.jpg"
"E","https://atlantaplanit.wabe.org/venues/E/","The Earl","https://atlantaplanit.wabe.org/venues/earl-the/","The Earl","404-522-3950","488 Flat Shoals Ave. SE
ATLANTA, GA 30316","The East Atlanta Bar and Lounge serves food, booze and entertainment to local Atlanta denizens and non-locals alike. The food is award-winning, the drinks are alcoholic (as are the owners), the bands are musical, and brunch is yummy.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street and limited parking available.","info@badearl.com","488 Flat Shoals Ave. SE
ATLANTA, GA 30316","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/The_Earl_Logo.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Gregg Irby Gallery","https://atlantaplanit.wabe.org/venues/gregg-irby-gallery/","Gregg Irby Gallery","404-941-9787","996 Huff Rd.
Suite D
ATLANTA, GA 30318","The gallery is located in Buckhead behind the historic Sardis Church and Cemetery. Gregg Irby hopes that you will find its cozy cottage both relaxing and welcoming. The unconventional setting provides for non-intimidating art perusing.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","girby@mindspring.com","996 Huff Rd.
Suite D
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/GreggIrby_-_Logo_New.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","The Lyric Studio Theatre","https://atlantaplanit.wabe.org/venues/lyric-studio-theatre-the/","The Lyric Studio Theatre","404-377-9948","12 Powder Springs St. SW
MARIETTA, GA 30064","The Lyric Studio Theatre is an intimate theatre space located in Historic Marietta Square. Cabaret style seating and technical enhancements make this newly renovated space a perfect fit for Atlanta Lyric Theatre's vision of expansion.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is free anywhere in the Marietta Square or on surrounding streets daily after 5 p.m. There is also a parking deck available weekdays after 5 p.m. as well as weekends and holidays located near the corner of Cherokee and Lawrence Streets.","info@atlantalyrictheatre.com","12 Powder Springs St. SW
MARIETTA, GA 30064","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/ALT_-_logo2011.jpg"
"Z","https://atlantaplanit.wabe.org/venues/Z/","ZuCot Gallery","https://atlantaplanit.wabe.org/venues/zucot-gallery/","ZuCot Gallery","404-380-1040","100 Centennial Olympic Park Dr. SW
ATLANTA, GA 30313","As Castleberry Hill's premier fine art gallery and event space, ZuCot Gallery showcases the best contemporary art from around the world in a striking, design-orientated space. The gallery's international collection of original work includes pieces by artists from a multitude of cultures and artistic disciplines.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","ZuCot Gallery has a covered garage parking on the premises. Free street parking is also available surrounding the building on Centennial Olympic Park Dr. and Nelson Street. MARTA: The gallery is a short walk from the Dome-GWCC-Philips Arena-CNN Station on Centennial Olympic Park Dr.","info@zucotgallery.com","100 Centennial Olympic Park Dr. SW
ATLANTA, GA 30313","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/ZuCot_-_Exterior.jpg"
